"PointID","x","y","z","Density","Momentum_x","Momentum_y","Momentum_z","Energy","Pressure","Temperature","Mach","Pressure_Coefficient"
5253, 1.776715803630075e-01, 5.000000000000000e-01, 5.342563650287406e-01, 9.658807367705947e-01, 2.938875405852801e-01, 1.198741072158404e-02, 3.596968610270362e-03, 2.449279473032637e+00, 9.617951832768901e-01, 9.957701263332319e-01, 2.579333842111900e-01, -6.064256622715866e-01
5254, 1.524674167906429e-01, 5.000000000000000e-01, 5.803491226555308e-01, 9.514309423979548e-01, 2.753709918453692e-01, 8.988005963028263e-03, -1.013929597417388e-02, 2.400508805075413e+00, 9.442249009160849e-01, 9.924261014007933e-01, 2.458402048157066e-01, -8.853190330780177e-01
5255, 3.770648874055946e-01, 4.999999999999999e-01, 1.874035698105505e-01, 9.507172496783350e-01, 4.192300517269504e-01, 9.402732586472845e-03, 2.081211691805387e-02, 2.415076344031089e+00, 9.289479261585408e-01, 9.771022104341125e-01, 3.775812804567881e-01, -1.127810695896178e+00
5256, 4.265160393220598e-01, 5.000000000000000e-01, 1.871870822651169e-01, 9.139854075715006e-01, 4.353707211121224e-01, 3.304561488174146e-03, 1.052595476805728e-02, 2.305148409653982e+00, 8.805555544832662e-01, 9.634240844423777e-01, 4.102858920692958e-01, -1.895943579630697e+00
5257, 4.148212358742552e-01, 5.000000000000000e-01, 2.241256597455781e-01, 9.058107388606197e-01, 4.115907458251307e-01, 1.731702482128126e-03, 1.935773634047581e-02, 2.281251910047668e+00, 8.750128748796276e-01, 9.659996700638247e-01, 3.911643401446758e-01, -1.983922620958292e+00
5258, 7.189808225275524e-02, 5.000000000000000e-01, 1.206795900724274e+00, 9.711462930910901e-01, 2.704477207920611e-01, 7.643410709795670e-03, -2.531178149404711e-02, 2.467077203330035e+00, 9.716238876552381e-01, 1.000491784366110e+00, 2.364250966507607e-01, -4.504144816628874e-01
5259, 8.464410469060052e-02, 5.000000000000000e-01, 1.180637501957058e+00, 9.718663069927145e-01, 2.534068559852367e-01, 8.113764051291446e-03, -2.532271305571500e-02, 2.462156203954226e+00, 9.715021855910214e-01, 9.996253379718250e-01, 2.216190726431798e-01, -4.523462604599777e-01
5260, 1.005124836796980e-01, 5.000000000000000e-01, 1.207451028457109e+00, 9.751375397122272e-01, 3.026451408807785e-01, 8.011231005140070e-03, -1.891962325070398e-02, 2.477581221540397e+00, 9.721600302156612e-01, 9.969465748416942e-01, 2.633093870117017e-01, -4.419042822910920e-01
5261, 1.639169892948154e-02, 5.000000000000000e-01, 1.522294061905005e-02, 7.660668288526898e-01, 4.519197676964315e-01, 1.135995932557360e-02, 6.117836314416368e-02, 2.024108357435124e+00, 7.553130131934628e-01, 9.859623008669720e-01, 5.068490902750900e-01, -3.883920425500593e+00
5262, 4.834241846174845e-01, 5.000000000000000e-01, 1.234930046043162e+00, 9.495307773477396e-01, 5.016050949608313e-01, 3.121864648414361e-02, 6.260142556761567e-03, 2.396646552202966e+00, 9.054488733742272e-01, 9.535750656796580e-01, 4.581256593476243e-01, -1.500811533742426e+00
